STN_Code,Location_Name,Water_Body_Type,State_Name,Temperature_Min,Temperature_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,Nitrate_Min,Nitrate_Max,Fecal_Coliform_Min,Fecal_Coliform_Max,Total_Coliform_Min,Total_Coliform_Max,Water_Quality,Pollution_Level
4368.0,"KOLLERU LAKE KOKKIRAYALANKA (V), KAILALUR (M)",LAKE,ANDHRA PRADESH,24.0,27.0,3.2,6.5,7.0,8.0,245.0,5160.0,1.6,3.2,1.02,3.6,9.0,21.0,120.0,210.0,Moderate,Slightly Polluted
2353.0,"KONDAKARLA-AAVA LAKE, PARAWADA PHARMA CITY, VISHAKHAPATNAM",LAKE,ANDHRA PRADESH,26.0,29.0,3.0,6.8,6.9,7.8,599.0,1179.0,1.9,4.6,0.77,3.56,15.0,23.0,150.0,240.0,Moderate,Slightly Polluted
1790.0,"PULICATE LAKE , NELLORE DIST",LAKE,ANDHRA PRADESH,18.0,24.0,4.2,6.0,7.2,8.2,28000.0,56900.0,2.4,2.8,1.2,1.64,3.0,3.0,47.0,150.0,Good,Clean
4391.0,"CHENGAMBAKAM TANK IN SRI CITY SEZ,
TIRUPATHI",TANK,ANDHRA PRADESH,22.0,29.0,5.4,6.2,6.3,7.9,180.0,476.0,1.0,2.5,0.34,2.3,24.0,365.0,170.0,549.0,Good,Clean
4921.0,"ANNAMAYYA PROJECT ON CHEYYERU
RESERVOIR",Wetland,ANDHRA PRADESH,21.0,30.0,5.4,6.5,7.3,8.0,496.0,734.0,1.0,2.3,0.35,1.0,43.0,289.0,240.0,727.0,Good,Clean
4936.0,ANUMANAPALLE CHERUVU,Wetland,ANDHRA PRADESH,22.0,23.0,6.8,7.5,7.1,9.0,158.0,320.0,1.2,2.2,0.42,1.79,3.0,4.0,63.0,150.0,Moderate,Clean
4919.0,BRAMHASAGAR,Wetland,ANDHRA PRADESH,20.0,29.0,5.1,6.4,7.1,7.9,381.0,608.0,1.0,2.2,0.32,0.67,45.0,322.0,210.0,602.0,Good,Clean
4926.0,DALI TANK,Wetland,ANDHRA PRADESH,22.0,31.0,4.2,7.3,7.1,8.5,274.0,18950.0,1.5,2.5,0.38,2.82,4.0,15.0,2.0,150.0,Good,Clean
4931.0,GACCHAKAYALA PORA (LAGOON),Wetland,ANDHRA PRADESH,27.0,31.0,4.5,7.2,7.1,8.6,12230.0,56900.0,1.4,3.6,0.63,2.86,4.0,15.0,64.0,120.0,Moderate,Slightly Polluted
4917.0,GANGINENI CHERUVU,Wetland,ANDHRA PRADESH,21.0,30.0,3.8,5.8,6.6,8.1,802.0,1326.0,2.2,3.5,1.08,4.51,191.0,659.0,540.0,1120.0,Moderate,Slightly Polluted
